,DTime,ElapsedTime,T1,T1_time,HeaterValues
292,1606162911.8871157,397.90333104133606,37.02,292.0,20.0
293,1606162913.2464406,399.26265597343445,37.02,293.0,20.0
294,1606162914.6052709,400.6214861869812,37.02,294.0,20.0
295,1606162915.9654913,401.9817066192627,37.02,295.0,20.0
296,1606162917.324064,403.340279340744,37.02,296.0,20.0
297,1606162918.6944034,404.71061873435974,37.02,297.0,20.0
298,1606162920.0945892,406.1108045578003,37.02,298.0,20.0
299,1606162921.454083,407.4702982902527,37.02,299.0,20.0
300,1606162922.813473,408.82968831062317,37.02,300.0,75.0
301,1606162924.1727247,410.1889400482178,37.02,301.0,75.0
302,1606162925.5213428,411.53755807876587,37.02,302.0,75.0
303,1606162926.8813002,412.8975155353546,37.02,303.0,75.0
304,1606162928.2396524,414.25586771965027,37.02,304.0,75.0
305,1606162929.5895169,415.6057322025299,37.34,305.0,75.0
306,1606162930.94837,416.96458530426025,37.34,306.0,75.0
307,1606162932.2977173,418.3139326572418,37.34,307.0,75.0
308,1606162933.6673603,419.683575630188,37.34,308.0,75.0
309,1606162935.0163891,421.0326044559479,37.34,309.0,75.0
310,1606162936.3653781,422.38159346580505,37.67,310.0,75.0
311,1606162937.7237024,423.73991775512695,37.67,311.0,75.0
312,1606162939.0838952,425.10011053085327,37.99,312.0,75.0
313,1606162940.4327452,426.44896054267883,37.99,313.0,75.0
314,1606162941.7922444,427.80845975875854,37.99,314.0,75.0
315,1606162943.1515238,429.1677391529083,38.31,315.0,75.0
316,1606162944.5106928,430.526908159256,38.31,316.0,75.0
317,1606162945.8701634,431.8863787651062,38.63,317.0,75.0
318,1606162947.2292533,433.2454686164856,38.95,318.0,75.0
319,1606162948.5884356,434.6046509742737,38.95,319.0,75.0
320,1606162949.947916,435.96413135528564,39.28,320.0,75.0
321,1606162951.3073199,437.3235352039337,39.28,321.0,75.0
322,1606162952.6663692,438.68258452415466,39.6,322.0,75.0
323,1606162954.0148656,440.0310809612274,39.92,323.0,75.0
324,1606162955.3645694,441.38078474998474,39.92,324.0,75.0
325,1606162956.7135272,442.72974252700806,39.92,325.0,75.0
326,1606162958.0727289,444.08894419670105,40.24,326.0,75.0
327,1606162959.4321973,445.44841265678406,40.57,327.0,75.0
328,1606162960.7915933,446.807808637619,40.89,328.0,75.0
329,1606162962.1507218,448.1669371128082,40.89,329.0,75.0
330,1606162963.4997041,449.5159194469452,41.21,330.0,75.0
331,1606162964.85904,450.8752553462982,41.53,331.0,75.0
332,1606162966.2178743,452.2340896129608,41.53,332.0,75.0
333,1606162967.5674684,453.58368372917175,41.86,333.0,75.0
334,1606162968.916443,454.9326584339142,42.18,334.0,75.0
335,1606162970.2655215,456.2817368507385,42.5,335.0,75.0
336,1606162971.6246908,457.64090609550476,42.5,336.0,75.0
337,1606162972.9730072,458.9892225265503,42.82,337.0,75.0
338,1606162974.3322315,460.3484468460083,42.82,338.0,75.0
339,1606162975.6915505,461.7077658176422,43.14,339.0,75.0
340,1606162977.0405397,463.05675506591797,43.47,340.0,75.0
